"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 22 00:42:40 MSK 2025","Thu May 22 00:42:40 MSK 2025","111","","CourierCreateTest","","CourierCreateTest","createCourierWithLoginNull","Создание курьера с login = null",""
"passed","Thu May 22 00:42:38 MSK 2025","Thu May 22 00:42:39 MSK 2025","272","","OrderCreateTest","","OrderCreateTest","createOrder[3 : color не указан]","Create order",""
"passed","Thu May 22 00:42:39 MSK 2025","Thu May 22 00:42:39 MSK 2025","237","","OrderCreateTest","","OrderCreateTest","createOrder[4 : color null]","Create order",""
"failed","Thu May 22 00:42:38 MSK 2025","Thu May 22 00:42:38 MSK 2025","225","","OrderCreateTest","","OrderCreateTest","createOrder[2 : color black and grey]","Create order",""
"passed","Thu May 22 00:42:41 MSK 2025","Thu May 22 00:42:41 MSK 2025","397","","OrderGetTest","","OrderGetTest","getOrderByNumber","Получение заказа по номеру",""
"passed","Thu May 22 00:42:40 MSK 2025","Thu May 22 00:42:40 MSK 2025","127","","CourierCreateTest","","CourierCreateTest","createCourierWithPasswordNull","Создание курьера с password = null",""
"passed","Thu May 22 00:43:41 MSK 2025","Thu May 22 00:43:42 MSK 2025","613","","LoginTest","","LoginTest","courierNonExistent","Авторизация с нсуществующей парой логин/пароль",""
"passed","Thu May 22 00:43:42 MSK 2025","Thu May 22 00:43:43 MSK 2025","489","","LoginTest","","LoginTest","courierCorrectLogin","Корректная авторизация",""
"passed","Thu May 22 00:43:43 MSK 2025","Thu May 22 00:43:43 MSK 2025","308","","LoginTest","","LoginTest","courierWithoutLogin","Авторизация без поля login",""
"passed","Thu May 22 00:44:44 MSK 2025","Thu May 22 00:44:44 MSK 2025","70","","DeleteCourierTest","","DeleteCourierTest","deleteNonExistent","Удаление курьера по несуществующему id",""
"passed","Thu May 22 00:42:40 MSK 2025","Thu May 22 00:42:41 MSK 2025","110","","OrderGetTest","","OrderGetTest","getOrderByNonExistentNumber","Получение заказа по несуществующему номеру",""
"passed","Thu May 22 00:44:44 MSK 2025","Thu May 22 00:44:44 MSK 2025","494","","LoginTest","","LoginTest","courierWithLoginNull","Авторизация с login = null",""
"passed","Thu May 22 00:42:40 MSK 2025","Thu May 22 00:42:40 MSK 2025","351","","CourierCreateTest","","CourierCreateTest","createCourierWithoutName","Создание курьера без поля name",""
"passed","Thu May 22 00:42:40 MSK 2025","Thu May 22 00:42:40 MSK 2025","55","","OrderGetTest","","OrderGetTest","getOrderWithoutNumber","Получение заказа без указания номера",""
"passed","Thu May 22 00:42:38 MSK 2025","Thu May 22 00:42:38 MSK 2025","277","","OrderCreateTest","","OrderCreateTest","createOrder[1 : color grey]","Create order",""
"passed","Thu May 22 00:42:39 MSK 2025","Thu May 22 00:42:40 MSK 2025","348","","CourierCreateTest","","CourierCreateTest","createCourier","Создание курьера с параметрами логин, пароль, имя",""
"failed","Thu May 22 00:42:41 MSK 2025","Thu May 22 00:43:41 MSK 2025","60531","","LoginTest","","LoginTest","courierWithPasswordNull","Авторизация с password = null",""
"passed","Thu May 22 00:42:40 MSK 2025","Thu May 22 00:42:40 MSK 2025","54","","CourierCreateTest","","CourierCreateTest","createCourierWithoutLogin","Создание курьера без поля login",""
"passed","Thu May 22 00:42:40 MSK 2025","Thu May 22 00:42:40 MSK 2025","58","","CourierCreateTest","","CourierCreateTest","createCourierWithoutPassword","Создание курьера без поля password",""
"passed","Thu May 22 00:42:36 MSK 2025","Thu May 22 00:42:38 MSK 2025","1750","","OrderCreateTest","","OrderCreateTest","createOrder[0 : color black]","Create order",""
"failed","Thu May 22 00:43:43 MSK 2025","Thu May 22 00:44:44 MSK 2025","60794","","LoginTest","","LoginTest","courierWithoutPassword","Авторизация без поля password",""
"passed","Thu May 22 00:44:44 MSK 2025","Thu May 22 00:44:45 MSK 2025","338","","DeleteCourierTest","","DeleteCourierTest","deleteCourier","Удаление курьера",""
"passed","Thu May 22 00:42:39 MSK 2025","Thu May 22 00:42:39 MSK 2025","365","","CourierCreateTest","","CourierCreateTest","createCourierWithExistingLogin","Создание курьера с существующим логином",""
"passed","Thu May 22 00:44:45 MSK 2025","Thu May 22 00:44:47 MSK 2025","2401","","OrdersTest","","OrdersTest","getOrders","Получение списка заказов",""
